Cheung Chau,Cheung Chau,"Lived Location|> ",Test valid input
Lamma Island,Lamma Island,"Lived Location|> ",Test valid input
Lantau,Lantau,"Lived Location|> ",Test valid input
Mui Wo,Mui Wo,"Lived Location|> ",Test valid input
Peng Chau,Peng Chau,"Lived Location|> ",Test valid input
Shenzhen,Shenzhen,"Lived Location|> ",Test valid input
Hung Shui Kiu,Hung Shui Kiu,"Lived Location|> ",Test valid input
Kam Tin,Kam Tin,"Lived Location|> ",Test valid input
Ma Wan,Ma Wan,"Lived Location|> ",Test valid input
Sha Tau Kok,Sha Tau Kok,"Lived Location|> ",Test valid input
Deep Bay,Deep Bay,"Lived Location|> ",Test valid input
Stanley,Stanley,"Lived Location|> ",Test valid input
Wah Fu,Wah Fu,"Lived Location|> ",Test valid input
Discovery Bay,Discovery Bay,"Lived Location|> ",Test valid input
Fanling,Fanling,"Lived Location|> ",Test valid input
Lo Wu,Lo Wu,"Lived Location|> ",Test valid input
Sai Kung,Sai Kung,"Lived Location|> ",Test valid input
Sheung Shui,Sheung Shui,"Lived Location|> ",Test valid input
Tin Shui Wai,Tin Shui Wai,"Lived Location|> ",Test valid input
Tsing Lung Tau,Tsing Lung Tau,"Lived Location|> ",Test valid input
Tuen Mun,Tuen Mun,"Lived Location|> ",Test valid input
Tung Chung,Tung Chung,"Lived Location|> ",Test valid input
Yuen Long,Yuen Long,"Lived Location|> ",Test valid input
Aberdeen,Aberdeen,"Lived Location|> ",Test valid input
Ap Lei Chau,Ap Lei Chau,"Lived Location|> ",Test valid input
Chai Wan,Chai Wan,"Lived Location|> ",Test valid input
Mid Level,Mid Level,"Lived Location|> ",Test valid input
Pok Fu Lam,Pok Fu Lam,"Lived Location|> ",Test valid input
Siu Sai Wan,Siu Sai Wan,"Lived Location|> ",Test valid input
South Horizons,South Horizons,"Lived Location|> ",Test valid input
Kwun Tong,Kwun Tong,"Lived Location|> ",Test valid input
Laguna City,Laguna City,"Lived Location|> ",Test valid input
Lai Chi Kok,Lai Chi Kok,"Lived Location|> ",Test valid input
Lam Tin,Lam Tin,"Lived Location|> ",Test valid input
Lok Wah,Lok Wah,"Lived Location|> ",Test valid input
Ngau Chi Wan,Ngau Chi Wan,"Lived Location|> ",Test valid input
Sau Mau Ping,Sau Mau Ping,"Lived Location|> ",Test valid input
Yau Tong,Yau Tong,"Lived Location|> ",Test valid input
Fo Tan,Fo Tan,"Lived Location|> ",Test valid input
Hang Hau,Hang Hau,"Lived Location|> ",Test valid input
Kwai Chung,Kwai Chung,"Lived Location|> ",Test valid input
Kwai Fong,Kwai Fong,"Lived Location|> ",Test valid input
Kwai Shing,Kwai Shing,"Lived Location|> ",Test valid input
Lai King,Lai King,"Lived Location|> ",Test valid input
Ma On Shan,Ma On Shan,"Lived Location|> ",Test valid input
Po Lam,Po Lam,"Lived Location|> ",Test valid input
Shatin,Shatin,"Lived Location|> ",Test valid input
Tai Po,Tai Po,"Lived Location|> ",Test valid input
Tai Wai,Tai Wai,"Lived Location|> ",Test valid input
Tai Wo Hau,Tai Wo Hau,"Lived Location|> ",Test valid input
Tseung Kwan O,Tseung Kwan O,"Lived Location|> ",Test valid input
Tsing Yi,Tsing Yi,"Lived Location|> ",Test valid input
Tsuen Wan,Tsuen Wan,"Lived Location|> ",Test valid input
Causeway Bay,Causeway Bay,"Lived Location|> ",Test valid input
Central,Central,"Lived Location|> ",Test valid input
Fortress Hill,Fortress Hill,"Lived Location|> ",Test valid input
Happy Valley,Happy Valley,"Lived Location|> ",Test valid input
Kennedy Town,Kennedy Town,"Lived Location|> ",Test valid input
North Point,North Point,"Lived Location|> ",Test valid input
Quarry Bay,Quarry Bay,"Lived Location|> ",Test valid input
Sai Wan Ho,Sai Wan Ho,"Lived Location|> ",Test valid input
Sai Ying Pun,Sai Ying Pun,"Lived Location|> ",Test valid input
Shau Kei Wan,Shau Kei Wan,"Lived Location|> ",Test valid input
Sheung Wan,Sheung Wan,"Lived Location|> ",Test valid input
Tai Hang,Tai Hang,"Lived Location|> ",Test valid input
Tai Koo Shing,Tai Koo Shing,"Lived Location|> ",Test valid input
Tin Hau,Tin Hau,"Lived Location|> ",Test valid input
Wan Chai,Wan Chai,"Lived Location|> ",Test valid input
Western District,Western District,"Lived Location|> ",Test valid input
Wong Chuk Hang,Wong Chuk Hang,"Lived Location|> ",Test valid input
Cheung Sha Wan,Cheung Sha Wan,"Lived Location|> ",Test valid input
Chuk Yuen,Chuk Yuen,"Lived Location|> ",Test valid input
Choi Hung,Choi Hung,"Lived Location|> ",Test valid input
Diamond Hill,Diamond Hill,"Lived Location|> ",Test valid input
Ho Man Tin,Ho Man Tin,"Lived Location|> ",Test valid input
Hung Hom,Hung Hom,"Lived Location|> ",Test valid input
Jordan,Jordan,"Lived Location|> ",Test valid input
Kowloon Bay,Kowloon Bay,"Lived Location|> ",Test valid input
Kowloon City,Kowloon City,"Lived Location|> ",Test valid input
Lok Fu,Lok Fu,"Lived Location|> ",Test valid input
Ma Tau Wai,Ma Tau Wai,"Lived Location|> ",Test valid input
Mei Foo,Mei Foo,"Lived Location|> ",Test valid input
Ngau Tau Kok Mongkok,Ngau Tau Kok Mongkok,"Lived Location|> ",Test valid input
Ping Shek,Ping Shek,"Lived Location|> ",Test valid input
San Po Kong,San Po Kong,"Lived Location|> ",Test valid input
Sham Shui Po,Sham Shui Po,"Lived Location|> ",Test valid input
Shek Kip Mei,Shek Kip Mei,"Lived Location|> ",Test valid input
Tai Kok Tsui,Tai Kok Tsui,"Lived Location|> ",Test valid input
To Kwa Wan,To Kwa Wan,"Lived Location|> ",Test valid input
Tsz Wan Shan,Tsz Wan Shan,"Lived Location|> ",Test valid input
Wang Tau Hom,Wang Tau Hom,"Lived Location|> ",Test valid input
Whampoa,Whampoa,"Lived Location|> ",Test valid input
Wong Tai Sin,Wong Tai Sin,"Lived Location|> ",Test valid input
Yau Ma Tei,Yau Ma Tei,"Lived Location|> ",Test valid input
Kowloon Tong,Kowloon Tong,"Lived Location|> ",Test valid input
Other String|Wong Tai Sin,Wong Tai Sin,"Lived Location|> Wrong input,please enter correct location!|> ",Test invalid input
