4.3,10,Test convert 4.3 to score
4.2,10,Test convert 4.2 to score
4.1,10,Test convert 4.1 to score
4,9,Test convert 4.0 to score
3.9,9,Test convert 3.9 to score
3.8,9,Test convert 3.8 to score
3.7,9,Test convert 3.7 to score
3.6,8,Test convert 3.6 to score
3.5,8,Test convert 3.5 to score
3.4,8,Test convert 3.4 to score
3.3,8,Test convert 3.3 to score
3.2,7,Test convert 3.2 to score
3.1,7,Test convert 3.1 to score
3,7,Test convert 3 to score
2.9,7,Test convert 2.9 to score
2.8,7,Test convert 2.8 to score
2.7,6,Test convert 2.7 to score
2.6,6,Test convert 2.6 to score
2.5,6,Test convert 2.5 to score
2.4,6,Test convert 2.4 to score
2.3,5,Test convert 2.3 to score
2.2,5,Test convert 2.2 to score
2.1,5,Test convert 2.1 to score
2,5,Test convert 2 to score
1.9,4,Test convert 1.9 to score
1.8,4,Test convert 1.8 to score
1.7,4,Test convert 1.7 to score
1.6,4,Test convert 1.6 to score
1.5,3,Test convert 1.5 to score
1.4,3,Test convert 1.4 to score
1.3,3,Test convert 1.3 to score
1.2,3,Test convert 1.2 to score
1.1,3,Test convert 1.1 to score
1,2,Test convert 1 to score
0.9,2,Test convert 0.9 to score
0.8,2,Test convert 0.8 to score
0.7,2,Test convert 0.7 to score
0.6,1,Test convert 0.6 to score
0.5,1,Test convert 0.5 to score
0.4,1,Test convert 0.4 to score
0.3,1,Test convert 0.3 to score
0.2,0,Test convert 0.2 to score
0.1,0,Test convert 0.1 to score
0,0,Test convert 0 to score
